text,multi,translated
yeah will they be in favour of bjp?,"they will favour bjp, isn't it?",will they favour bjp?
see we are having two dances okay.,there is two dance.,there are two dances.
yeah they will start laughing and all that.,"yeah, they would laughing.","yeah, they will laugh."
n but they prefer me being there also.,"yeah, they are preferring me being there too.","yeah, they prefer me being there too."
so champani you are new to this place?,"so champani, like new here?","so champani, are you new here?"
here madhava road shop i took it.,i have taken that madhava road shop here.,i took the madhava road shop here.
second is daughter she is doing polytechnic.,"my daughter that second child, and doing the polytechnic course.","my daughter is the second child, and she is doing a polytechnic course."
and see every language it requires medicine na.,and every language is needing its own treatment.,and every language needs its own treatment.
they study is not their primary motive.,education are not their prioritys.,education is not their priority.
actually where is your residence in madras?,where you in madras live?,where do you live in madras?
like us you are also having laughs. a.,y'all are also like us laughing.,you are also laughing like us.
why you are not going to work also?,why aren't y'all going to work either?,why aren't you going to work either?
so we can have a stall also.,so we can also having one stall.,so we can also have a stall.
when we will be studying they disturb us.,they are disturbing us while are studying it.,they disturb us while we are studying.
but now-a-days many people are diverting to. homeopathy.,but persons moving to homeopathy recently.,but people are moving to homeopathy recently.
it's good simultaneously doing b e in civil.,pursuing b.e. civil engineering simulatnoeusly is like commendable.,pursuing b.e. in civil engineering simulatnoeusly is commendable.
in orissa they have not done till date.,they haven't done yet orissa it.,they haven't done it yet in orissa.
i have a collecton of jewel.,a collection is there of jewels.,i have a collection of jewels.
i applied for ten days back. leave.,i for a leave applied ten day ago.,i applied for a leave ten days ago.
indian joke this is going to get recorded.,this indian joke would be recorded.,this indian joke will be recorded.
now only no i gave the leave application.,amn't i just giving leave application?,didn't i just give the leave application?
it's a very fame yeah very famous also.,it is too famous.,it is very famous.
yes we've heard it students. were in assam.,"yes, we have heard that students have been in assam.","yes, we heard that students were in assam."
no it may be implemented say for. admissions.,"no. for example, it could be implemented for admission.","no. for example, it could be implemented for admissions."
no just palika bazar janpath and all. that.,"no. just palika, bazaar, janpath, and other similar ones.","no. just palika, bazaar, janpath, and other similar ones."
who will be bringing the guest means.,who-all gon be bringing guests?,who will be bringing the guests?
okay which girl you like in the hostel.,okay. which girl y'all in the hostel like?,okay. which girl do you like in the hostel?
there are different forts here you kown. panhalgad.,"you in panhalgad know you have various forts here,?","did you know there are various forts here, in panhalgad?"
when you left kerala it was raining.,was it raining when y'all have left kerela?,was it raining when you left kerela?
the trend of the students is mixed sir.,"trends in student responses are like mixed, sir.","the trends in student responses are mixed, sir."
whereas in andhra pradesh many schools are. there.,"whereas, there in andhra pradesh are many school.","whereas, there are many schools in andhra pradesh."
how things are moving in punjab now-a-days?,how that situation in punjab recently?,how is the situation in punjab recently?
definitely. they are in the hall college also.,definitely. they in the hall college are also.,definitely. they are also in the hall college.
and now there is no time also no.,and now you have no time left.,and now there is no time left.
in at house only or in hotel.,at home or in one hotel.,at home or in a hotel.
so you are teaching them from now only.,"so, y'all teaching them now on?","so, are you teaching them from now on?"
yeah what what all what do they serve?,yeah. what-all they serving?,yeah. what do they serve?
library facility was not there.,there was no library facilities.,there were no library facilities.
direct bus is eight thirty bus is here.,"that bus that is going there directly at eight thirty, and is here now.","the bus that goes there directly is at eight thirty, and it is here now."
yeah and after six years will be coming.,"yeah, and himself would be returning after six year.","yeah, and he will be returning after six years."
were established as university in the same year.,it have been established as the university in a same year.,it was established as a university in the same year.
no even then there is a basic qualification.,"no, you have still the basic qualification.","no, there is still a basic qualification."
so one does not like the area.,"so, does one not like area?","so, does one not like the area?"
oh ho do you have a library also?,"oh, you also have the library?","oh, do you also have a library?"
yeah i have seen you hard working,"yeah, i notice you working hard.","yeah, i have noticed you working hard."
no but basics also it's more than enough.,no. but even knowing basics beyond what-all is needed.,no. but even knowing the basics is beyond what is needed.
yeah you will find greenary everywhere you know.,"yeah, you would find greenery all you.","yeah, you will find greenery all around you."
you can feast for the night today no.,"can feast tonight, can't?","you can feast tonight, can't you?"
you are an english medium student i think.,i am believing y'all are student an english medium schools.,i believe you are a student from an english medium school.
that favourite. we also take fish and rice.,that is one favourite. we also have fishs and rices.,that is a favourite. we also have fish and rice. 
in madras you have buses for ladies and.,there for ladies in madras are dedicated buses.,there are dedicated buses for ladies in madras.
they get irritated you know they get irritated.,"you know that they get irritated, isn't it?",do you know that they get irritated?
see you can go in vacation and come.,y'all can for the vacation go there and are returning afterwards.,you can go there for the vacation and return afterwards.
vani jayram yes i like it very moving.,"yes, i really like vani jayrams musics. s like so moving.","yes, i really like vani jayrams music. its so moving."
continous speaking means we know each other,"if talking it continously, then it is meaning that are knowing each other well.","if we are talking continously, then it means that we know each other well."
she is very she is very bold no.,"she is n't bold, isn't it?",isn't she bold?
no these things have been done my father-in-law.,no. my father-in-laws already did this things.,no. my father-in-law has done these things.
anyhow you have to seen see your. own.,"anyhow, you are needing to look out for yourself.","anyhow, you need to look out for yourself."
who all the all the girls can participate.,all girls allowed to participate?,are all the girls allowed to participate?
they are royal people all are royal people.,they are all royalty.,they are all royalty.
i will be staying in my cousins place.,"would be staying with my , their place cousin.","i will be staying with my cousin, at their place."
i know because i have faced an interview.,am knowing because have experienced interview that.,i know that because i experienced an interview.
yeah that you know people who fight know.,"yeah, persons who is fighting are knowing that.","yeah, people who fight know that."
as per schedule as per schedule i came.,i have come schedules.,i came as per the schedule.
hey tomorrow tomorrow i'll call him na.,"hey, i would call him the tomorrow.","hey, i will call him tomorrow."
ah preparing for his i a s examination.,is preparing for his ias examinations.,he is preparing for his ias examination.
i think that is the second pay.,i am thinking that is the second paycheck.,i think that is the second paycheck.
how do you find your school? it's good.,how find your school? like good?,how do you find your school? is it good?
and now you are teaching in a college.,and you teaching in college now?,and are you teaching in a college now?
i see and some this benedol.,"oh, okay. as benedol is something called.","oh, okay. it is something called as benedol."
i see. she is also a school teacher.,"oh, okay. he is also one good teacher.","oh, okay. she is also a good teacher."
yeah they'll easily get. they are not interested.,"yeah, would easily get . isn't like interested it it.","yeah, they will easily get it. they are not interested in it."
yeah marathi sometime. hindi and marathi almost equal.,"yeah, am speaking in marathi sometimes. but am speaking hindi and marathi almost equally.","yeah, i speak in marathi sometimes. but i speak hindi and marathi almost equally."
yeah but it's not very healthy no climate.,"yeah but this climate is not like good for your healths, is?","yeah but this climate is not good for your health, is it?"
rent five hundred i'm paying five. hundred.,i am for rent paying five hundered.,i am paying five hundered for rent.
me and poonam had gone to karol bagh.,myself and poonam had gone to karol bagh.,poonam and i went to karol bagh.
accha accha. so you got star connection now.,"oh, okay. so, you have gotten star network connected now.","oh, okay. so, you got star network connected now."
i mean even they are very like you.,even they like you are too much.,even they are very much like you.
that some of it are to be changed.,some of it gotta change.,some of it has to change.
ah ha so what is her programme now.,"so, what her plan now?","so, what is her plan now?"
well ma reading or teaching?,"well, y'all like to read or teach?","well, do you like to read or teach?"
but we can do even homeopathy for that.,but we can also for that use homeopathy.,but we can also use homeopathy for that.
yes yes of course material did come.,"yes, of course. materials have arrived.","yes, of course. the material has arrived."
but the medicine help to relieve some pain.,but a medicines would help are relieving some pain.,but the medicine will help relieve some pain.
yeah it's done in separately in chemistry. lab.,yeah. it is seperately did in chemistrys lab.,yeah. it is seperately done in a chemistry lab.
yes that's right awareness is as important.,"yes absolutely, awareneses are like important.","yes absolutely, awareness is important."
he is preparing for his i a s.,for his i.a.s examinations preparing.,he is preparing for his i.a.s examinations.
it's both. it's attachment with the place.,is both. is like attachment with place as well.,it is both. it is attachment with the place as well.
so your basic specialisation is actually literature.,"so, your primary specialisation literature?","so, is your primary specialisation literature?"
continue. do you have correspondence course for journalism?,"are continuing. you have any correspondence courses in journalism, isn't it?",continue. do you have any correspondence courses in journalism?
two tables and two chairs and what else?,you have two tables and two chairs. what-what else required?,there are two tables and two chairs. what else is required?
yes sir. already he has done some amount also.,"yes, sir. has already on it for some time worked.","yes, sir. she has already worked on it for some time."
you mean it's very tough students can't. follow it.,y'all mean is like too tough for students to follow it?,do you mean it is too tough for students to follow?
was there any any decision about another meeting ?,have been there any decision regarding that other meeting?,was there any decision regarding the other meeting?
tibya now in the final year isn't this?,in the final year isn't tibya?,isn't tibya in the final year?
bikaner is famous for its bhujiya. famous for. its.,bikaner for their bhujiya is like famous.,bikaner is famous for their bhujiya.
yeah both of them are private colleges and,"yeah, both are private colleges.","yeah, both are private colleges."
very difficult once the school starts na. very difficult.,thing get like very difficult once school starts it.,things get very difficult once the school starts.
where you know hinglish is modified according to their. convenience.,where hinglish is modified to suit their conveniences.,where hinglish is modified to suit their convenience.
it is known for its university its karnataka university. dharwar.,dharwad is for its karnataka university known.,dharwad is known for its karnataka university.
anyway i mistook it for something else you know.,"anyway, i have mistaken something else.","anyway, i mistook it for something else."
ah if he is playful you know they just forget.,they are forgetting if himself is like playful.,they forget if he is playful.
only these two things and what else he has to follow.,what-what else he besides these two things gotta follow?,what else does he have to follow besides these two things?
no but then that was a sense of activity also.,but then that were also activitys in some sense.,but then that was also an activity in some sense.
you may have a generative perspective but you may socio-. linguistic perspective.,you may have the general perspectives which you would in terms of socio - linguistics gotta think.,you may have a general perspective but you will need to think in terms of socio-linguistics.
yes sir co-education institution sir strength of around seven hundred students.,"yes, sir. this is the co-eduational institution with aproximately seven hundred student.","yes, sir. this is a co-eduational institution with aproximately seven hundred students."
yeah yeah of course there is only five or six thousand.,"yes, ofcourse. you have only five or six thousand.","yes, ofcourse. there are only five or six thousand."
and then so much of attention you would not. have taken.,you would not have took so much attentions.,you would not have taken so much attention.
my girl is there in bangalore. my husband is there mother is there.,my girl is in bangalore. my husband and my mother both are also there.,my girl is in bangalore. my husband and my mother both are also there.
yeah it's a residential school and i have to stay. throughout the year.,are the residential schools and i gotta stay here throughout year.,it is a residential school and i have to stay here throughout the year.
you know do you think that marriage after marriage you cannot relax.,after marriage think that cannot relax?,do you think that you cannot relax after marriage?
what day told was we talked about this to julka madam.,when we talk julka madam this?,when did we talk to julka madam about this?
ah girls what are the subjects that you are having there in.,"girl, what subject y'all have?","girls, what subjects do you have?"
yeah we will have workshop after seminar. we didn't some of us are going.,"yes, would have the workshop seminar. some us going, which not everyone.","yes, we will have a workshop after the seminar. some of us are going, but not everyone."
no. i decided to go i told yesterday. you are coming along with me.,"no. saying yesterday that decided to go, and so y'all with me coming along.","no. i said yesterday that i have decided to go, and you are coming along with me."
i think so because he has not appliedha. he may apply tomorrow.,"may apply the tomorrow, since not does so yet.","he may apply tomorrow, since he has not done so yet."
no but even i have heard but i have heard only good. events.,"i also hear about it, which only good things.","i have also heard about it, but only good things."
even badminton is also not there in our college only. volley ball and football.,"our college only for volleyball and football for other sports , has facilities , which not  not even badminton.","our college only has facilities for volleyball and football, but not for other sports, not even badminton."
that is the matter that's what even my wife. she is not a graduate.,"am agreeing, even my wife is not one graduate.","i agree, even my wife is not a graduate."
and staying in the same colony we don't have people time for people and all that.,"even while staying in that same colony, we don't really have times for persons.","even while staying in the same colony, we don't really have time for people."
yes since i heard that there are forts and some. other things let us see yeah.,"i have heard there is fort and other such thing, so let's to see how does it go.","i heard there are forts and other such things, so let's see how it goes."
then your then you must be abnormal. see young girls like you must have a boyfriend.,then must be abnormal - young girls like must have boyfriend.,then you must be abnormal - young girls like you must have a boyfriend.
they are practising and they've they've. advantage because they are practising since may i've. started from august.,have advantage because have been practising since may. i only have started practising in august.,they have an advantage because they have been practising since may. i only started practising in august.
exam system what do you feel that you are getting. your rights the exam present kind of exams.,what-what are you thinking does you get from a current examinations system?,what do you think you get from the current examination system?
had you been to any other state other than near andhra. pradesh and tamil nadu and even now mysore i think.,"y'all would to any state other than andhra pradesh , tamil nadu , or even mysore know this if y'all had been  .","you would know this if you had been to any state other than andhra pradesh, tamil nadu, or even mysore."
i think people after getting married giving. birth to children i'm going to school this thing that thing so. many problems.,"i am thinking that getting married, persons have childs, are dealing schools, and all sorts problems.","i think that after getting married, people have children, deal with school, and all sorts of problems."
yes yes lot you know because it was at the prime of. my youth you know i was in trivandrum.,"yes, the lot. because, have been in trivandrum during prime of my youths.","yes, a lot. because, i was in trivandrum during the prime of my youth."
for after my m a m a in english in nineteen. sixty-eight i started teaching in a prestigious college in trivandrum. marvine co.,"after have received my m.a. in english in nineteen sixty eight, have started teaching in the prestigious college in trivandrum called marvine co.","after i received my m.a. in english in nineteen sixty eight, i started teaching in a prestigious college in trivandrum called marvine co."
yes yes and then some in some cases. kadepurkar you know see another thing is he is conducting the whole procedure. in marathi.,"yes, that is happening some cases. also, kadepurkar is conducting a whole procedure marathi.","yes, that happens in some cases. also, kadepurkar conducts the whole procedure in marathi."
no action will be taken against that you will be the. person to be blamed. so the parents will come and they will blame you only.,"no actions would be taken those matters, and ll be a one held accountable. a parents would come and are blaming only you.","no action will be taken on that matter, and youll be the one held accountable. the parents will come and blame only you."
also the practical is very nicely like we. start right from the eighth yes standard for the practical. knowledge and all so that helps the students.,we are starting right that eighth standard practical knowledges and so that is helping students.,we start right from the eighth standard for practical knowledge and that helps the students.
hey you sur be like that only. whenever i ask i have got leg pain i have got stomach pain you. will say what man you must play.,"hey, 're always like this. whenever i am asking you to play, are saying, ""my leg hurting"" or ""my stomach is hurting."" are coming on, man - having to play.","hey, you're always like this. whenever i ask you to play, you say, ""my legs hurt"" or ""my stomach hurts."" come on, man - you have to play."
for the. shaking and all all pelvic thrust. doing that all movement what is the. dance she she was doing n. what have you decided for your project.,she was doing all that movements - shaking and pelvic thrusts. what kind of dances have been that? and what deciding for your project?,she was doing all those movements - shaking and pelvic thrusts. what kind of dance was that? and what have you decided for your project?
and one fine thing we found in kolhapur is that people are i think so not too much addicted you see drinks or paan. or something of that sort.,we in kolhapur to alcohol or paan noticed that persons aren't seeming to be like too addicted.,we noticed that people in kolhapur don't seem to be too addicted to alcohol or paan.
no nothing like that but i thought that. whether he has contacted me directly or through you oh or he has at least kept you inform something like that.,"oh no, the nothing that. was just wondered whether he had contacted me straight or through y'all - or at least informed y'all some way.","oh no, nothing like that. i was just wondering whether he contacted me directly or through you - or at least informed you in some way."
it's more practical and then after we pass it. we have another years of year of internship. that is a complete practice as such when you finish the final final year.,would gotta pass the few more practical class. would then have one more year internship. it would be the complete practices when you finish that final year.,we will need to pass a few more practical classes. we will then have one more year of internship. it will be a complete practice when you finish the final year.
my first sister she's doing beauty parlour. course and she has started already. and second sister she is doing engineering college. and third sister she is in b com final year.,"my first sister doing the course to run the beautys parlour, and have already started . a second sister is enrolled an engineering college, and a third sister is a final year her b.com. degree.","my first sister is doing a course to run a beauty parlour, and she has already started it. the second sister is enrolled in an engineering college, and the third sister is in the final year of her b.com. degree."
if that be so if japan can have a government formed by man by. many parties say three or four parties. israel has got a government recently and that government is. formed by three parties.,"if japan can have governments formed by three or four party, and if israel new governments are also made up of coalition of three party, why cant we do same in india?","if japan can have a government formed by three or four parties, and if israels new government is also made up of a coalition of three parties, why cant we do the same in india?"
no no they only managed parents managed their own. then i asked to take part so his mother. refused to take part. even i told aishwarya's house and. that swati patel. few students are visiting for that.,"no, parents have handled things on their own. have asked his mother to take part, but still had refused. also have informed persons at aishwaryas houses that swati patel and the few student will be visiting.","no, the parents handled things on their own. i asked his mother to take part, but she refused. i also informed the people at aishwaryas house that swati patel and a few students would be visiting."
then he got married to a girl from his own relations that. is his daughter cousin sister. and even then she was having a similar kind of torture. torture means i cannot explain you to what extent that torture was.,"later, married the girl from hi own extended family, specifically hi paternal cousin. but even in this second marriage, wife faced similar abuses. level of harassment was like so severe that itis ssing like difficult to even explain.","later, he married a girl from his own extended family, specifically his paternal cousin. but even in this second marriage, the wife faced similar abuse. the level of harassment was so severe that its difficult to even explain."
don't you think basu in your home in japan in. israel even in sri lanka in these countries there are. many governments which are formed by many parties. single party is ruling the country like india. this type of thing is very rare particularly in this decade and.,"dont thinking, basu, what which in countries like japan, israel, and even sri lanka, governments are often formed it through coalitions of multiple parties? the single-party governments, like we currently have in india, are like quite rareespecially in this decade.","dont you think, basu, that in countries like japan, israel, and even sri lanka, governments are often formed through coalitions of multiple parties? a single-party government, like we currently have in india, is quite rareespecially in this decade."
o one is one is not very sure of it but. lot of research is is going on now-a-days.ha but and also pre-historical monuments are. found in the area. that way it has acquired lot of significance ah. from that point of view histo point of view of historical. research.,"one cannot be like certain, but there am the lot researchs recent time. place becoming like important historical researchs when pre-historical monument were found here.","one cannot be certain, but there has been a lot of research in recent times. the place became important for historical research when pre-historical monuments were found here."
medical college also a private college and engineering. college one of the engineering college they started long back and it is. i think it has got grant this though it is a private college. and there are several pharmacy colleges. and science colleges and women's college like that. educationally i think m.,"their medical college is like private. engineerings college have been establishing long ago, and also had received one grant. several pharmaceutical and general science colleges, also having colleges womans.","their medical college is private. the engineering college was established long ago, and it also received a grant. along with several pharmaceutical and general science colleges, they also have colleges for women."
then after three four sittings we realised that the problem is. he is the only earning source of the family. and all of them they had this fear that if this person if. he has a very good relationship with his wife and if there is a sound. relationship fam sound family life there is a possibility of. him going and staying separate.,"after three or four sessions, we finally have understood that root of issue had been that had been the sole breadwinner in family. others have feared that if had developed one strong bond with his wife and have built one stable family life with her, can choose to live separately, leaving them without support.","after three or four sessions, we finally understood that the root of the issue was that he was the sole breadwinner in the family. the others feared that if he developed a strong bond with his wife and built a stable family life with her, he might choose to live separately, leaving them without support."
and they used to and when we had some people setting it. we really couldn't find out what identify what is the problem. actually that her husband was a good man. the only thing is he used to drink. he was a worker in some factory. he used to drink a little bit. he never used to hit her like nothing. but all this people they used to harass her.,"when we conducted a few sessions with them to understand situation, we couldnt initially identify what-what core issue was. her husband, as it turned it out, was actually a good man. himself worked in factory and drank little, but himself never hit her or abused her physically. however, rest of family constantly harassed her.","when we conducted a few sessions with them to understand the situation, we couldnt initially identify what the core issue was. her husband, as it turned out, was actually a good man. he worked in a factory and drank a little, but he never hit her or abused her physically. however, the rest of the family constantly harassed her."
his first marriage was broken in the sense that because. of the torture from these sister-in-laws sisters-in-law. and from mother-in-law and from father-in-law. she left him and in that category i mean like low income. group they don't go for all these legal processes through. court and all. the breaking that is the divorce is a very simple thing. they just leave the person and then they go.,"his first marriage ended because of that harassment his wife experienced it from her in-law. eventually left him. in low-incomes groups, formal legal process like going to court for divorce are not followed. instead, one partner simply is leaving.","his first marriage ended because of the harassment his wife experienced from her in-laws. she eventually left him. in low-income groups, formal legal processes like going to court for a divorce are not followed. instead, one partner simply leaves."
that girl she had to go in that common lavotory. in bombay in the slum areas there are these common toilets and. common bathroom. so she had to go there. she used to come back window she used to call someone. she used to tell them that please give me some chapati. or some bread to eat. i mean it was that kind of thing they were not giving her food. no water no food.,"woman had had to use one shared toilet, as like common in slum areas of bombay, where you have public bathrooms. after using toilet, would return and are calling out through window, asking neighbors for foodschapatis or breadsbecause they werent gave her any foods or waters at home.","the woman had to use a shared toilet, as is common in the slum areas of bombay, where there are public bathrooms. after using the toilet, she would return and call out through the window, asking neighbors for foodchapatis or breadbecause they werent giving her any food or water at home."
there was there was one very peculiar case in the sense that it was from the very low income group. they they used to stay in bombay you know slum kind of area. not fully slum but you can call it semi- slum kind of thing. and that man he was the only son of that man. and he had some three or four sisters all of them they were. unmarried. unmarried in the sense they were of course they were. younger to him that is why they were unmarried he was the eldest and he. was married.,"there being one too peculiar case from the too low-incomes group. it living in the semi-slum area of bombay, not quite the full slum, which close. that man in question was an only son, and she had three or four sister, all of whom were like unmarried. it were like unmarried because it was like younger as her. she was the most eld and already married.","there was one very peculiar case from a very low-income group. they lived in a semi-slum area of bombay, not quite a full slum, but close. the man in question was an only son, and he had three or four sisters, all of whom were unmarried. they were unmarried because they were younger than him. he was the eldest and already married."
