text,translation,discard,what are we changing,prob,Original Length,Translated length,Left,Discarding
No not craft as such I do stitching work.,,,,0.9087086,9,1,573,513
It is better to be late than never yeah.,,,,0.9066731,9,1,573,513
They regularly come to our shop and all that.,,,,0.90471166,9,1,573,513
Areas which have not been touched upon till now.,,,,0.9028851,9,1,573,513
 so where did you come across. this English.,,,,0.9013025,9,1,573,513
Thank god you appreciate it and you like it.,,,,0.90097433,9,1,573,513
No oven where do you get the oven from?,,,,0.90073603,9,1,573,513
Very difficult once the school starts na. m very difficult.,Things get very difficult once the school starts.,,,0.9579183,10,8,573,513
Where you know Hinglish is modified according to their. convenience.,Where Hinglish is modified to suit their convenience.,,,0.9381545,10,8,573,513
It is known for its University its Karnataka University. Dharwar.,Dharwad is known for its Karnataka University.,,,0.9337128,10,7,573,513
 anyway I mistook it for something else you know.,"Anyway, I mistook it for something else.",,,0.90281934,10,7,573,513
Ah if he is playful you know they just forget.,They forget if he is playful.,,,0.9407639,10,6,573,513
 changed means that of Hindi. language that's in your.,,,,0.95820034,10,1,573,513
Is this school upto Higher Secondary or Matriculation.,,,,0.95819795,8,1,573,513
 I like teaching English I like Chemistry also.,,,,0.95816094,9,1,573,513
 you come Orissa when in your vacations every year?,,,,0.95807064,10,1,573,513
What about your match Pranam cricket match. What happen n.,,,,0.9578745,10,1,573,513
Like what are your subjects you learnt in civil.,,,,0.95727307,9,1,573,513
Now in our place there is no electronics. department now.,,,,0.9567559,10,1,573,513
Students are very happy because of tomorrow is holiday.,,,,0.95591575,9,1,573,513
I will appear for the they have these. entrance exams.,,,,0.95581836,10,1,573,513
So I think what ever you think in academic also.,,,,0.95570445,10,1,573,513
Not like that I will search some job here only.,,,,0.9548026,10,1,573,513
Ah ha where is where is this Vashi? hello?,,,,0.95448804,9,1,573,513
And what about Chandini? So far how is your ragging?,,,,0.954256,10,1,573,513
You see man I should get admission no somewhere else.,,,,0.9539083,10,1,573,513
No the same thing that has been applicable to Maharashtra.,,,,0.9537061,10,1,573,513
Of course you may not get University buses also. laughter.,,,,0.95356816,10,1,573,513
But the practice if we follow their culture tradition.,,,,0.95309216,9,1,573,513
m in our college sir I regularly have four. periods.,,,,0.9530239,10,1,573,513
I like very much our Tamil customs then this ,,,,0.9524116,10,1,573,513
But they can also help us nahi nahi. second time.,,,,0.95232296,10,1,573,513
So you have started dealing with your patients and all?,,,,0.9523209,10,1,573,513
Ah and he will go from Mirajto. Bangalore.,,,,0.9521957,8,1,573,513
No many people they very few died and also.,,,,0.9520835,9,1,573,513
And how is the principal of the college Mr. Patil?,,,,0.9516473,10,1,573,513
Because I wanted to learn something which you know.,,,,0.95136017,9,1,573,513
Always they will be what's the teacher. one word.,,,,0.95055395,9,1,573,513
Not here but in Bangalore. Now they are trying to.,,,,0.9504795,10,1,573,513
What is it Vidya why didn't you marry tell me?,,,,0.9499177,10,1,573,513
No both I do my works also I'll gossip also.,,,,0.94989645,10,1,573,513
So this year there will be tenth standard observation also.,,,,0.9497215,10,1,573,513
So you need a challenge always not guarding your. perspective.,,,,0.9496227,10,1,573,513
And what is the procedure of admission in Gulbarga. university.,,,,0.9493377,10,1,573,513
So your opinion I I do respect m but. when.,,,,0.9491744,10,1,573,513
you will feel bored. because this not house come on.,,,,0.94900274,10,1,573,513
That is not emotional feeling that is. emotional feeling only.,,,,0.9487315,10,1,573,513
Yes in Andhra means only Telangana. Telangana only one day.,,,,0.94867516,10,1,573,513
There even our college students you know they take that.,,,,0.94842345,10,1,573,513
I am doing other peoples work she was. annoyed.,,,,0.9483267,9,1,573,513
But there some tourist is there or no in Kashmir.,,,,0.948233,10,1,573,513
It's not that we have to do one. section today.,,,,0.948225,10,1,573,513
But here they are they don't know what which. Sarswati.,,,,0.9477559,10,1,573,513
Nice you are paying a very rich tribute to Kolhapur.,,,,0.94765866,10,1,573,513
But many people in India speak English with. the.,,,,0.9474632,9,1,573,513
No mine also and some capsules for your. mother.,,,,0.9474632,9,1,573,513
Cheeranjivi is one of the popular actor he is super.,,,,0.9471932,10,1,573,513
I today only a film shatranj ke khiladi. something.,,,,0.94694906,9,1,573,513
No they will be started starting. with more or less.,,,,0.9468922,10,1,573,513
In the class there is questions and answers session.,,,,0.946808,9,1,573,513
In Bombay Bombay is how many. hours distance from Poona?,,,,0.94534385,10,1,573,513
what happens you know she. is not conscious about that.,,,,0.9451284,10,1,573,513
But Prof Goud there is other part of it also.,,,,0.9449832,10,1,573,513
Yeah that is religious you have to do that first.,,,,0.9449346,10,1,573,513
Yeah class two. Whereas we are also class one officers.,,,,0.9445235,10,1,573,513
No no it is not our jobs are not transferable.,,,,0.9443469,10,1,573,513
No it doesn't. It goes via Arsikeri Hubli and Warangal.,,,,0.94413847,10,1,573,513
Now why do you want to know about that now?,,,,0.9440391,10,1,573,513
But you see their is another side of her life.,,,,0.94400054,10,1,573,513
Yeah we did our BA together very. well in Kerala.,,,,0.9431733,10,1,573,513
No not got. Then we may go both of us.,,,,0.9429824,10,1,573,513
Anyway what is your boyfriend he is doing.,,,,0.94288075,8,1,573,513
Here the weather conditions are fine and yeah. very pleasant.,,,,0.9423882,10,1,573,513
 just thought I'll get ready you are ready. already?,,,,0.9423329,10,1,573,513
Any cine actors contributed anything for. the heavy toll.,,,,0.94175136,9,1,573,513
Okay now Daisy what level have you studied in.,,,,0.9411883,9,1,573,513
Now how do you find your life as a teacher?,,,,0.94108564,10,1,573,513
Ahsome perhaps some of your relatives are. there.,,,,0.9410291,8,1,573,513
No no it will take so nearly one week to.,,,,0.94055355,10,1,573,513
Mysore. Did you celebrate this Daserra in your. place.,,,,0.9404443,9,1,573,513
Yeah and you are not used to all this food.,,,,0.94037515,10,1,573,513
That is the problem with our whole education yes. structure.,,,,0.9403606,10,1,573,513
I have planned to stay there atleast one week yeah.,,,,0.9403492,10,1,573,513
People are staying in are they. staying? You don't stay.,,,,0.93892515,10,1,573,513
 then hey Rasika has come down is it?,,,,0.9388539,9,1,573,513
Oh yours your head is not reeling any more no?,,,,0.93884736,10,1,573,513
I will be having all the six periods you know.,,,,0.9377939,10,1,573,513
Intellectual intellectuals do not feel any proud of their. knowledge.,,,,0.93753916,10,1,573,513
And there's one more place it's called. Shaneshwar form here.,,,,0.9373952,10,1,573,513
m then so what are plan. you planning to do.,,,,0.9369769,10,1,573,513
No not in artificial but I want a golden one.,,,,0.93614197,10,1,573,513
Yes a Higher Secondary School Maharani Gayatri Devi. Public School.,,,,0.93524647,10,1,573,513
Even if we sell it it will around two. hundred.,,,,0.93521225,10,1,573,513
She has got to the trip for falling sick only.,,,,0.93495566,10,1,573,513
Numerical ability consist of calculations you know. In that addition.,,,,0.9342303,10,1,573,513
Yeah M G Road is good I like the place.,,,,0.93380576,10,1,573,513
Yeah on the day before they will intimate it all.,,,,0.9337631,10,1,573,513
Yeah we went. Usually is the biggest festival for us.,,,,0.93289566,10,1,573,513
Yes he is waiting. And so also I'm also waiting.,,,,0.9326318,10,1,573,513
Is it so. I had totally different ideas about Amravati.,,,,0.9321559,10,1,573,513
But here Mysore is also okay but Hyderabad is bad.,,,,0.9317665,10,1,573,513
Of course so what is much better than doing nothing.,,,,0.93129146,10,1,573,513
Yes on the beach I don't know. One Maha.,,,,0.9312225,9,1,573,513
Yeah I too like smiling people you know. you're being.,,,,0.9304808,10,1,573,513
I have come to attend the refresher course in English.,,,,0.9304114,10,1,573,513
Yeah yeah we have to consider the monetary part also.,,,,0.92875075,10,1,573,513
You know Michael West ek. chhota sa article ahe.,,,,0.92839843,9,1,573,513
He he has he has some other work to do.,,,,0.92833513,10,1,573,513
Yeah that Volley Ball tournament is going no. that one.,,,,0.92725396,10,1,573,513
What will you do right from morning to evening for.,,,,0.92646366,10,1,573,513
What do you think about his art and technique.,,,,0.9257338,9,1,573,513
May be and then you know I contacted Tomkin.,,,,0.92451257,9,1,573,513
Are you looking after any business other than profession sir?,,,,0.9241986,10,1,573,513
I think that you should relax enjoy life the full.,,,,0.92412746,10,1,573,513
Mysore is a beautiful city. I liked it very much.,,,,0.92308754,10,1,573,513
And how do you come to the university these days?,,,,0.92305017,10,1,573,513
So every week or so you go and meet them.,,,,0.91942936,10,1,573,513
Ah ha. How many members are there in your committee?,,,,0.918811,10,1,573,513
What we'll talk about. How long have you been working?,,,,0.9185379,10,1,573,513
m why is that many they just go for Traffic?,,,,0.9181657,10,1,573,513
This is very same dog we are speaking about laugher.,,,,0.91639036,10,1,573,513
She will do it unless only if I remind her.,,,,0.91518223,10,1,573,513
My place is nearby Vellore. Do you know that place.,,,,0.9130612,10,1,573,513
Yeah see I am actually running a parallel college.,,,,0.91250765,9,1,573,513
And you have a also I. think near that tracks.,,,,0.91204095,10,1,573,513
I intent to leave on the same day because I.,,,,0.909896,10,1,573,513
No you have no other go you've to do it.,,,,0.90963614,10,1,573,513
One belongs to Raichur and the other belongs to Mumbai.,,,,0.9093831,10,1,573,513
Ah I know that yeah yesterday I saw her na.,,,,0.90047574,10,1,573,513
Hey not bad what is it. Where it will go.,,,,0.90038425,10,1,573,513
Only these two things and what else he has to follow.,What else does he have to follow besides these two things?,,,0.91782755,11,11,573,513
 no but then that was a sense of activity also.,But then that was also an activity in some sense.,,,0.9352277,11,10,573,513
 a very good course sir bright future is also.,,,,0.9577318,10,1,573,513
n that way I think many place is better than Bombay.,,,,0.9574973,11,1,573,513
Yeah in Rajarampuri one is there and. all and that ,,,,0.95732343,11,1,573,513
Noon yeah something you have rice chapati. and one plus rice.,,,,0.9570743,11,1,573,513
Books and all means now you have not taken already.,,,,0.95669687,10,1,573,513
So. Now you have completed your M A second year.,,,,0.955276,10,1,573,513
One guy who has taken this Bijapur money and all.,,,,0.95516926,10,1,573,513
 like chilli they use more chilli then you. can't tell.,,,,0.95485824,11,1,573,513
Ah about mode of travel you have not decided ah.,,,,0.9547792,10,1,573,513
And you have a temple also I believe inside that your.,,,,0.9547544,11,1,573,513
Yeah she has she is attending all the regular classes. daily.,,,,0.95464796,11,1,573,513
Now this cement factory people have no business over your. administration.,,,,0.954607,11,1,573,513
How come most of this Keralites have name English names. especially.,,,,0.9545472,11,1,573,513
We'll also ask our friends also no other friends. who Girish.,,,,0.9540845,11,1,573,513
Yeah unit test are over but terminal are still not over.,,,,0.9535791,11,1,573,513
Upto twelfth standard. Eleventh and twelfth that's called higher secondary. school.,,,,0.9534769,11,1,573,513
 in our case m we have something. called common sense.,,,,0.9531774,11,1,573,513
And very big big statue. So that statue is very interesting.,,,,0.9530463,11,1,573,513
I wish I wish there were more institutions. of this type.,,,,0.9526511,11,1,573,513
See the department has to take sir. It it will take.,,,,0.95247376,11,1,573,513
Even take marklist at. twelfth standarad level board Amarawati Board is.,,,,0.9524421,11,1,573,513
No but he stayed in Delhi all these years. eight years.,,,,0.95233864,11,1,573,513
Yeah Chingalpat district. You all given a all separate rooms.,,,,0.95233643,10,1,573,513
You have to live inside you are. continuously in the hospital.,,,,0.9521554,11,1,573,513
But last six months back you were working under ,,,,0.9518418,10,1,573,513
m personally I'm saying that refresher course. these are very frustrating.,,,,0.95178473,11,1,573,513
I am Padma doing my Ph D here in literature teaching.,,,,0.9516516,11,1,573,513
Yeah I teach literature at the M A level.,,,,0.9516175,9,1,573,513
Local fishes are there but they are much more. costly yeah.,,,,0.9514844,11,1,573,513
How can that be achieved first they must understand each. other.,,,,0.95140564,11,1,573,513
So you had how did you begin your education where.,,,,0.95123655,10,1,573,513
So now only you have started him to teach every thing.,,,,0.95097536,11,1,573,513
Maybe to keep the company these students force na. the friends.,,,,0.95093346,11,1,573,513
Very less I feel see otherwise Kolhapur and paan. closely associated.,,,,0.95089066,11,1,573,513
What do you think sir about this election reservation in. Karnataka.,,,,0.9507112,11,1,573,513
That's right but he both the. sons are studying here.,,,,0.9506669,10,1,573,513
So Bharati Vidya Bhavan people have such type of persons. only.,,,,0.9506482,11,1,573,513
Ayesha do do tell me when did you passed pass. out?,,,,0.9506299,11,1,573,513
Ah ha. Is there any chapter on science education also sir?,,,,0.9504986,11,1,573,513
No we tried to convince him but unfortunately he's. beyond convincing.,,,,0.9504098,11,1,573,513
This is the fault of students only because. the students themselves.,,,,0.9502481,11,1,573,513
Yeah I don't have much idea of what. Indian History is.,,,,0.95016634,11,1,573,513
No but we have artificial lake. full city of lake.,,,,0.95014954,10,1,573,513
Not a staunch believer I I just like Hanuman and Saibaba.,,,,0.9501321,11,1,573,513
And about his wife means she is totally hurt much.,,,,0.9498075,10,1,573,513
So Gulbarga has been a university for the last twenty-five. years.,,,,0.9495641,11,1,573,513
So there there also this factories must be in Andhra. Pradesh.,,,,0.949453,11,1,573,513
No we have mosquitoes there. But mosquitoes of CIEFL are famous.,,,,0.9492699,11,1,573,513
Well good day what I have is time and. happiness.,,,,0.9492337,10,1,573,513
Reduced now because it is this TV influence in every. thing.,,,,0.9490451,11,1,573,513
Right now like I am not trying for any exam like.,,,,0.9490277,11,1,573,513
How many schools were there in Hydera one school. in Hyderabad.,,,,0.94881994,11,1,573,513
So total eight minutes are over we need to continue. na.,,,,0.94877005,11,1,573,513
Yeah he is homeopathy doctor there in my house only doing.,,,,0.94833916,11,1,573,513
Ha ha it it includes plus two plus two. classes.,,,,0.9482024,10,1,573,513
Now today Grace madam has aksed us to write that. ,,,,0.94780385,11,1,573,513
Ah that I have to still see know after my house.,,,,0.94780064,11,1,573,513
Okay then what about your fields. What about your lands.,,,,0.94759303,10,1,573,513
Okay. Then how many dresses did you bring back from Harihar.,,,,0.94750696,11,1,573,513
I have many friends in Manglore as well as in. Bombay.,,,,0.94730484,11,1,573,513
In one piece yes. Main problem is food you know that.,,,,0.9469807,11,1,573,513
But Kolhapur city is on the higher side above sea. level.,,,,0.9467566,11,1,573,513
But we do not come across such problems.,,,,0.9467392,8,1,573,513
I am staying in a village what is there to see.,,,,0.9465367,11,1,573,513
No even I had a very good experience at in Bombay.,,,,0.9463614,11,1,573,513
Yeah we'll go one day and you will see for. yourself.,,,,0.94633836,11,1,573,513
Alright. So what else? How about your food arrangement in Sangli?,,,,0.9457303,11,1,573,513
See there is there is one rule. in the department sir.,,,,0.94539374,11,1,573,513
My sister is staying there so. she. said it's very beautiful.,,,,0.94536424,11,1,573,513
I think that is case in every department of our life.,,,,0.94492066,11,1,573,513
What is there to what is there to tell about. family.,,,,0.9448597,11,1,573,513
I meet them I go to restuarant with them and all.,,,,0.9432757,11,1,573,513
Ah that you will get a copy I believe you know.,,,,0.9425449,11,1,573,513
I know as far as that two words. error is displayed.,,,,0.9424126,11,1,573,513
See we have got to take the responsibility of. the fault.,,,,0.94164777,11,1,573,513
Yeah later later I came here. I then went to ,,,,0.9412315,11,1,573,513
No but why do the husbands again change a lot?,,,,0.94051516,10,1,573,513
Okay like say she does anything she prepares things. like eatables.,,,,0.9404532,11,1,573,513
Yeah. But since morning we are not having hot water today.,,,,0.9391106,11,1,573,513
And she is going abroad yeah or she has gone. abroad.,,,,0.9378987,11,1,573,513
You are the only person staying in your room or ,,,,0.9376503,11,1,573,513
So you go thirty kilometres everyday and then return thirty. kilometres.,,,,0.937571,11,1,573,513
So Raelsima is also in coastal area but in Karnataka.,,,,0.9375085,10,1,573,513
As a head of any institution it has to be there.,,,,0.93679094,11,1,573,513
Shaukat Shaukat is fine but he is feeling bored in Kolhapur.,,,,0.93674976,11,1,573,513
Usually these things will take place only in the. professional colleges.,,,,0.9352283,11,1,573,513
House activities and teaching tests you. can't even take leave exact.,,,,0.9351407,11,1,573,513
We are usually blamed because people say the girl is. ,,,,0.9342948,11,1,573,513
So that will be taken as a variety of Indian English.,,,,0.9341144,11,1,573,513
That's now you're offering offering me. without my guests also. Right.,,,,0.933697,11,1,573,513
Having humurous something special I would love it to join it.,,,,0.9333589,11,1,573,513
Sir you have a very long experience sir. as a teacher.,,,,0.9332681,11,1,573,513
Yeah and that only because of that watching the film. yaar.,,,,0.93274826,11,1,573,513
Ah nursing of it was necessary for a. the last fortnight.,,,,0.93148226,11,1,573,513
I am yet differed because of the some problems knotty. problem.,,,,0.93110037,11,1,573,513
Everytime he keeps speaking you know they get irritated. and say.,,,,0.9305829,11,1,573,513
We are not handing over as it has come to us.,,,,0.9300477,11,1,573,513
Role. So there is no wonder there will be some concessions.,,,,0.929477,11,1,573,513
Yeah but you also must have helped him as a parent.,,,,0.929413,11,1,573,513
And daily now we le read linguistic talk. linguistic walk linguistic.,,,,0.92940575,11,1,573,513
And I'm really impressed with this University and. its maintenance.,,,,0.92642426,10,1,573,513
Students or you see a student cannot be a. very gentleman.,,,,0.9262101,11,1,573,513
Okay how does it help you in your teaching of language.,,,,0.9255923,11,1,573,513
And there they were serving breakfast and even the. dinner.,,,,0.9245198,10,1,573,513
It means any ism for that matter ultimately leads to. hurt.,,,,0.9204807,11,1,573,513
Okay it means that you are a staunch believer in gods.,,,,0.9192066,11,1,573,513
No but here they think that they'll you are. showing off.,,,,0.91905546,11,1,573,513
I know nothing about politics I never bother to. Recording broken.,,,,0.9183203,11,1,573,513
Third language and m this did that Apte lady. come.,,,,0.9181898,10,1,573,513
No. Because the decoration and all. Same day you all do.,,,,0.9180313,11,1,573,513
Yeah that's a very beautiful lake. artificial seen it in movies.,,,,0.91560006,11,1,573,513
Yeah actually our courses has a casette which goes with it.,,,,0.91498965,11,1,573,513
Aa i i initial periods I did very difficult. but I.,,,,0.9138465,11,1,573,513
Now you make a final selection and we will start working.,,,,0.9137741,11,1,573,513
I think only that much we can do for our students.,,,,0.91373277,11,1,573,513
I never I can never resist a book somehow. But I.,,,,0.91367733,11,1,573,513
She is she is elder to you or younger to you.,,,,0.90915996,11,1,573,513
And moreover she's being a Christian m. as we all get.,,,,0.9080793,11,1,573,513
With their in their hand they have. all those western dances.,,,,0.907179,11,1,573,513
No no I am not a hard worker but like you.,,,,0.90249306,11,1,573,513
That was a very compliment comp comprehending. with historical persons.,,,,0.901766,10,1,573,513
You may have a generative perspective but you may socio-. linguistic perspective.,You may have a general perspective but you will need to think in terms of socio-linguistics.,2,,0.93014234,12,16,573,513
Yes sir co-education institution sir strength of around seven hundred students.,"Yes, sir. This is a co-eduational institution with aproximately seven hundred students.",,,0.93994105,11,12,573,513
Yeah yeah of course there is only five or six thousand.,"Yes, ofcourse. There are only five or six thousand.",,,0.9363726,11,9,573,513
m and then so much of attention you would not. have taken.,You would not have taken so much attention.,1,,0.93307716,12,8,573,513
Very well. You get different type of knowledge m in this. duration.,,,,0.95833564,12,1,573,513
These like other background for our. future studies. They have to commence.,,,,0.95786935,12,1,573,513
I met Rama Matthew from here she had come here. actually.,,,,0.9562547,11,1,573,513
 your present friend will be alone in. this college.,,,,0.95618325,10,1,573,513
So other day all of us will leave from Bangalore on fourth.,,,,0.9556133,12,1,573,513
No way no way you cannot offer management in. every field so.,,,,0.95469165,12,1,573,513
And what about this Maharani Arts college? Was it a palace before?,,,,0.9545224,12,1,573,513
So how do you find Mysore compare to your place with. ,,,,0.95384145,12,1,573,513
 because we have not gone anywhere and. we don't find time.,,,,0.953691,12,1,573,513
So in English I have come across but Hinjali I don't. know.,,,,0.95338696,12,1,573,513
And variant and va variety say I think they are. quite different.,,,,0.95335144,12,1,573,513
Rice. what quality of kind they gave in your.,,,,0.95321125,9,1,573,513
Sir it is very hot there specially in April May. June.,,,,0.95292526,11,1,573,513
That is that is true. About more than twenty-five years now ,,,,0.9527871,12,1,573,513
Not only in your place everywhere in India these. these unemployment problem.,,,,0.9527131,12,1,573,513
Yeah that madam told me to send few students from our. class.,,,,0.95260847,12,1,573,513
To like it you know about that place through the Saibaba. only.,,,,0.9523182,12,1,573,513
So then there will be no problem of pollution and all. these.,,,,0.95204246,12,1,573,513
Cover up the whole topic. And understanding is expected in the school.,,,,0.9514777,12,1,573,513
But now both of them can have gala time in Bombay nei.,,,,0.95115674,12,1,573,513
But that is not sufficient you will have to work a. lot.,,,,0.951104,12,1,573,513
How it is very glad that we have met in this school.,,,,0.9511009,12,1,573,513
Tell me something about the palaces I have not seen any. palace.,,,,0.9508092,12,1,573,513
So whenever I go to Madras I just visit my relatives place.,,,,0.95059186,12,1,573,513
But that is one problem the people don't believe in. homeopathy still.,,,,0.9505672,12,1,573,513
Gayatri because I like her. She is so frankly she speaks to.,,,,0.9499322,12,1,573,513
I think Sonali you are the right person to take the. initiative.,,,,0.94992423,12,1,573,513
Of course we need them to follow of course we. need them.,,,,0.9494545,12,1,573,513
Sir I'm working at one of the places in schools in. Jaipur.,,,,0.9494031,12,1,573,513
The Lata Mangeshkar is the person who has personally. seen him.,,,,0.94933105,11,1,573,513
You think you will easily get a job there in that. department?,,,,0.9490127,12,1,573,513
Yeah actually my plan is to work in Public Health Engineering. department.,,,,0.94896334,12,1,573,513
 previously they thought that the marriages are. made in heaven.,,,,0.94866425,11,1,573,513
I know you will carry everybodys problem on. yours you are totally.,,,,0.94847006,12,1,573,513
But those people who've actually established. themselves this at this Saibaba.,,,,0.948173,11,1,573,513
No I want I want to visit. We should go one day.,,,,0.9478576,12,1,573,513
I have seen The Hope and Glory. have you seen that.,,,,0.94785714,11,1,573,513
Very good you are the one exception you are the only one.,,,,0.94773275,12,1,573,513
Yeah. Next month know aunty we have ethnic day in our college.,,,,0.94768244,12,1,573,513
Because there is no yeah equal an opponent to. oppose her.,,,,0.9475707,11,1,573,513
Because our country has a multi lingual background lingual background.,,,,0.9472346,10,1,573,513
I refuse that offer this is the second. time you have offered.,,,,0.9471335,12,1,573,513
So the special dish is chicken or mutton we always have. mutton.,,,,0.9470684,12,1,573,513
I'm lecturer in a Senior Secondary School. senior secondary school in Ambala.,,,,0.946974,12,1,573,513
No not that way because I have got still one more. daughter.,,,,0.9463775,12,1,573,513
I hope our colleague student don't come with us that. class missed.,,,,0.94510293,12,1,573,513
Her brother is coming no younger one yeah. so she's so happy.,,,,0.94486374,12,1,573,513
No even I don't have leave I know how to get back.,,,,0.9448106,12,1,573,513
You know about one author from Bangladesh this Taslima. Nasreen something.,,,,0.9447901,11,1,573,513
I I too think so. He is very young for the class.,,,,0.94465435,12,1,573,513
What is your impression of Mysore last year. and whether you like.,,,,0.9446316,12,1,573,513
 I teach from F Y to final B A class.,,,,0.9443857,11,1,573,513
Papers we can't say hard only because they already taught. that same.,,,,0.94428724,12,1,573,513
Right there is no good opposition she has. almost become a dictator.,,,,0.94362867,12,1,573,513
Okay and I think you people have even computers as one. subject.,,,,0.9430025,12,1,573,513
Same thing and so we have to just shut. them and nothing.,,,,0.9427154,12,1,573,513
Of course you are not much not much. interested still I love.,,,,0.94260895,12,1,573,513
The college is not good in the sense what do you mean.,,,,0.9425291,12,1,573,513
Ah do you know something about use of statistics in. Psychology.,,,,0.94243145,11,1,573,513
And the the main. attraction of the city there guys keep coming.,,,,0.9422679,12,1,573,513
You really you have the presence of mind to fetch the. boundary.,,,,0.9419341,12,1,573,513
Ortho orthodentia that is they put braces and all. those things.,,,,0.9412623,11,1,573,513
Yeah it kept me mentally busy and now I'm. attending this classes.,,,,0.94121754,12,1,573,513
No but its not compulsory only if you. want you can come.,,,,0.9408547,12,1,573,513
So that we will be able to diagnose what is the. problem?,,,,0.94080025,12,1,573,513
Fifteen years yeah. you you have taught only in one college.,,,,0.94030166,11,1,573,513
But he has to increase the power in that patient. like today.,,,,0.94023484,12,1,573,513
Daughter is my daughter's name is Aloka she is. in Holy Cross.,,,,0.9389316,12,1,573,513
After this I'm going to study in library up till two. O'clock.,,,,0.9384605,12,1,573,513
How do manage your home and your service at the same time?,,,,0.9384034,12,1,573,513
No each one of the student is asked to present a. paper.,,,,0.9383052,12,1,573,513
What all you saw there. Means which place you had gone.,,,,0.93824905,11,1,573,513
What about in your house do you you are these having. any.,,,,0.9381307,12,1,573,513
Even my mummy is suffering was suffering from rheumatism. she has taken.,,,,0.937897,12,1,573,513
Not practical you every man has to dream it it's. practically proved.,,,,0.9378708,12,1,573,513
Yes sir means we should remain free from all. passion.,,,,0.9376064,10,1,573,513
Why you like me because I take you to eat chicken na.,,,,0.93736887,12,1,573,513
That is very nice. And how many brothers and sisters are you.,,,,0.9371495,12,1,573,513
Do you think anything that will be going to happen in. India.,,,,0.9370017,12,1,573,513
They think their bathing is necessity not luxury. laughter what warden says.,,,,0.93577164,12,1,573,513
I think they need exposure thats the. lack they are lacking it.,,,,0.9356278,12,1,573,513
Yours is tenth so it is nice but we said that.,,,,0.9352369,11,1,573,513
Yeah rain dance but from where the. water is going to come.,,,,0.9350828,12,1,573,513
So when you write to your parents which. language you write in.,,,,0.93369967,12,1,573,513
But what exactly is Indian English? I'm unable to ring with that.,,,,0.9336734,12,1,573,513
Okay then we can discuss what to write in the. sheet.,,,,0.9335768,11,1,573,513
Is the medium of instruction at the graduate level. English or Kannada.,,,,0.933109,12,1,573,513
Because you do not want to take the responsibility of. your fault.,,,,0.9328749,12,1,573,513
But I remember last time also they have airshipped fifty k g.,,,,0.93273973,12,1,573,513
Yeah I have my dad he is sitting. sticking to this post.,,,,0.9326758,12,1,573,513
And may be sometimes geyser is working right or. sometime it's ,,,,0.93168575,12,1,573,513
I want I love to watch movies which are very very melodious.,,,,0.9306438,12,1,573,513
But I'm sure I will go to Kerala sometime in the. future.,,,,0.9306283,12,1,573,513
In B S R B Bangalore you have to write in Kannada.,,,,0.9302777,12,1,573,513
m I think they are starting that workshop from. July fifth.,,,,0.93003607,11,1,573,513
No no you could have parked it in the mosque and then.,,,,0.92986697,12,1,573,513
And I think you must be frying in this iron. kadai.,,,,0.9296177,11,1,573,513
And how is your aunty who got married in the. summer.,,,,0.9290244,11,1,573,513
And what do you do when you go back to Belgaum.,,,,0.9286823,11,1,573,513
I think you have gone through two times for a. few words.,,,,0.9284921,12,1,573,513
And what brings you here all the way from Jalgaon to Kolhapur.,,,,0.9281927,12,1,573,513
Not only he acts very nicely than others. Okay that means I.,,,,0.9279396,12,1,573,513
I'm taking full pants and bushirts for Diwali. What about you Mandar.,,,,0.92680955,12,1,573,513
We can we can make it possible yes if we. have practice.,,,,0.92431176,12,1,573,513
As far as that goes reversal of roles can never take. place.,,,,0.92364883,12,1,573,513
Come on doctor gave me the appointment at three thirty pm. only.,,,,0.9234795,12,1,573,513
We'll stand in a queue and will get ticket. Okay tomorrow afternoon.,,,,0.92346174,12,1,573,513
He has no habit of yeah he doesn't have this gratitude.,,,,0.923458,11,1,573,513
Out of science out of science and mathematics I. teach nothing.,,,,0.9231663,11,1,573,513
The political and other economic condition is worse than. India in Russia.,,,,0.9228598,12,1,573,513
To be alone it's more comfortable you know. staying alone how you.,,,,0.922716,12,1,573,513
They don't want transfer now because they can. live a settled life.,,,,0.9226319,12,1,573,513
Do you like to go to see in Bombay to. stay there.,,,,0.9213935,12,1,573,513
Yeah he is quite young but now-a-day think he is. marriageable age.,,,,0.92063665,12,1,573,513
Did you get to the state get any relief from other. states?,,,,0.91954154,12,1,573,513
You can get used to eating it but it is very tasty.,,,,0.9179523,12,1,573,513
No I I know this I know this ha ha. procedure.,,,,0.91767263,11,1,573,513
Nice town calm town small town a nice beach lot of. theatres.,,,,0.91667306,12,1,573,513
Man you should see place. it's so dirty and all the time.,,,,0.91552645,12,1,573,513
Ah let's see not so soon. After another three or four years.,,,,0.91442645,12,1,573,513
They would be neglected. So what is the use of your earning.,,,,0.9100764,12,1,573,513
Yeah on that project that's that's way. research take here that's right.,,,,0.9081106,12,1,573,513
no somehow I do it I read. half an hour a day.,,,,0.90731853,12,1,573,513
How about your hobbies and all. What do you do during your.,,,,0.9072934,12,1,573,513
Yes it is. Now it's well developed place before it was not.,,,,0.9067486,12,1,573,513
No I haven't done my P G I have done my graduation.,,,,0.90563166,12,1,573,513
But he has to have his reputation. If the if he gets.,,,,0.90448916,12,1,573,513
Then don't you have any plan for going out of station.,,,,0.9042319,11,1,573,513
